小区,地址,房型,面积,朝向,层高,建造年份,单位面积价格,总价格,备注
海亮天城,章江新区红都大道东江源大道66号,3室2厅2卫,98.63㎡,南,中层(共33层),2016年建造,13080元/㎡,129万,房源性价比高  中间楼层 海亮天成3房
中海国际社区东郡A区,章江新区五指峰路五指峰路20号,3室2厅2卫,123.3㎡,南,低层(共26层),2014年建造,12653元/㎡,156万,中海国际社区东郡A区 3室2厅 电梯房 采光好
中环中央城(A区),章江新区章江路章江路,3室2厅1卫,82㎡,南北,中层(共20层),2014年建造,13049元/㎡,107万,万象城中央公园附近，总价低小三房，生活配套齐全，中高楼层
恒大帝景御景苑,章江新区登峰大道兴国路62号,3室2厅2卫,125㎡,南,高层(共26层),2018年建造,13760元/㎡,172万,约谈就签 房东急售 恒大帝景精装三房
融耀江滨御景,章江新区五指峰路五指峰路,4室2厅2卫,142.78㎡,南,低层(共31层),2017年建造,16670元/㎡,238万,新出好房！好地段好位置小孩学习方便！
联发君玺,章江新区登峰大道南康路,3室2厅2卫,128㎡,南,高层(共11层),2020年建造,16250元/㎡,208万,全景VR看房E地块纯洋房牡丹亭前后园林绿化南北通透满税
世纪嘉园,章江新区梅关大道梅关大道,3室2厅2卫,143㎡,南北,低层(共27层),2015年建造,13427元/㎡,192万,精装修大三房带中央空调买进拎包入住，业主诚意出售，好房不等人
华润幸福里三期,章江新区登峰大道琴江路,4室2厅2卫,127.55㎡,南,高层(共42层),2018年建造,16151元/㎡,206万,笋盘来袭 万象城旁房东豪装 大四房 超大赠送随时看房
丽景江山,章江新区赞贤路赞贤路88号,3室2厅1卫,85㎡,南北,高层(共31层),2017年建造,12118元/㎡,103万,章江新区旁  精装3房  好楼层  总价低
云星公园大观,章江新区章江路章江路18号,4室2厅3卫,245.76㎡,南北,低层(共34层),2018年建造,22380元/㎡,550万,云星公园大观 满二 全线湖景 4室2厅 南北通透 245平
文明大道109号小区,章江新区长征大道文明大道109号,5室2厅2卫,135㎡,南北,高层(共7层),2000年建造,6371元/㎡,86万,便宜啊！大客厅！ 大阳台！ 渔湾里步步高 新区一桥之隔
黄金时代(B区),章江新区兴国路赞贤路,3室2厅2卫,144㎡,南,高层(共7层),2012年建造,10410元/㎡,149.9万,市政府旁 144平 精装大三房 通透双阳台
中国银行城南支行宿舍,章江新区长征大道东阳山路27号,3室2厅2卫,100㎡,南北,高层(共8层),1996年建造,5600元/㎡,56万,南门口精装三房，五米阳台，好停车
华润幸福里二期,章江新区登峰大道琴江路5号,3室2厅1卫,86.15㎡,南,高层(共34层),2018年建造,15439元/㎡,133万,章江新区 万象城旁 华润幸福里 央企品质 精装3房
华润幸福里三期,章江新区登峰大道琴江路,4室2厅2卫,127㎡,南北,中层(共32层),2016年建造,17323元/㎡,220万,华润万象城 楼层好 四房二厅二卫   精装房，拎包入住！
世纪嘉园,章江新区梅关大道梅关大道,4室2厅2卫,128㎡,南北,中层(共32层),2015年建造,16329元/㎡,209万,房东急售  豪华装修江景四房 南北通透 中间楼层 世纪嘉园
世纪嘉园,章江新区梅关大道梅关大道,4室2厅2卫,142㎡,南北,低层(共30层),2018年建造,13099元/㎡,186万,南  阳台日照足，滨江大社区，世纪嘉园毛坯4房
华润幸福里一期,章江新区登峰大道琴江路,4室2厅2卫,143㎡,南,高层(共33层),2018年建造,17203元/㎡,246万,捡漏！万象城隔壁华润幸福里 豪华装修四房两厅两卫 246万
嘉福金融中心,章江新区新赣州大道橙香大道26号,3室2厅2卫,93㎡,南,高层(共38层),2018年建造,17742元/㎡,165万,新区一线江景嘉福三房二厅二卫 近E地块
世纪嘉园,章江新区梅关大道梅关大道,4室2厅2卫,143㎡,南北,低层(共27层),2015年建造,12938元/㎡,185万,赣州章江新区一线江景房，户型通透，总价低大四房
中航城,章江新区翠微路翠微路1号,4室2厅2卫,140㎡,南,高层(共28层),2013年建造,13286元/㎡,186万,赣州市政府旁，江边小区，豪德  ，楼下就是商业综合体
保利联发康桥,章江新区新赣州大道兴国路,3室2厅1卫,93㎡,南,高层(共33层),2020年建造,15592元/㎡,145万,保利联发康桥 精装小三房 全线江景 视野开阔
中航城,章江新区翠微路翠微路1号,4室2厅2卫,133㎡,南北,低层(共32层),2012年建造,13985元/㎡,186万,中航城 双卫生间 医疗配套成熟 停车方便 南北通透 装修好
丽景江山,章江新区赞贤路赞贤路88号,4室2厅1卫,105㎡,南北,低层(共30层),2017年建造,12191元/㎡,128万,章江新区旁  精装4房  新装修未入住    方便
温馨家园(赞贤路),章江新区赞贤路赞贤路,2室1厅1卫,50.24㎡,南,中层(共6层),2010年建造,9953元/㎡,50万,温馨家园 章江新区赞贤路小 学 中海附近小区好停车
云星中央星城,章江新区瑞金路赣江源大道8号,3室2厅1卫,89㎡,南北,低层(共32层),2013年建造,14045元/㎡,125万,章江新区 核心小区 中等楼层 全明采光 超值精装电梯三房
中祥玖珑湾二期,章江新区梅关大道梅关大道28号,3室2厅2卫,143.5㎡,南北,中层(共31层),2016年建造,15192元/㎡,218万,章江新区 玖珑湾全线江景143平南北通透精装三房
中海国际社区东郡A区,章江新区五指峰路五指峰路20号,3室2厅2卫,120㎡,南北,高层(共26层),2015年建造,13750元/㎡,165万,章江新区  电梯凤凰层  精装大3房  拎包入住 送家具家电
联发雍榕华府,章江新区梅关大道梅关大道29号,3室2厅2卫,104㎡,南,低层(共33层),2018年建造,14039元/㎡,146万,临江江景三房小区品质绿化高 低总价户型方正
恒大帝景御景苑,章江新区登峰大道兴国路62号,3室2厅2卫,129㎡,南北,高层(共26层),2018年建造,13179元/㎡,170万,恒大帝景129平性价比好房出售  中间楼层 业主诚心出售
雍晟状元府邸,章江新区红都大道红都大道16号,4室2厅2卫,125㎡,南北,中层(共17层),2016年建造,13440元/㎡,168万,赣州新人民医院旁，  中学环绕，通透四房
海亮天城,章江新区红都大道东江源大道66号,3室2厅1卫,90㎡,南北,低层(共33层),2017年建造,14223元/㎡,128万,捡漏精装小3房 赣州中学 滨江二小 南北通透 看房方便
华润幸福里三期,章江新区登峰大道琴江路,3室2厅2卫,124㎡,南,低层(共30层),2016年建造,17904元/㎡,222万,万象城 幸福里三期 带露台 精装三房 户型好 房东急售 可谈
云星中央星城,章江新区瑞金路赣江源大道8号,2室2厅1卫,89㎡,南北,高层(共32层),2015年建造,14383元/㎡,128万,房东急售 宝能城 中央星城南苑 出行方便 全新精装 看房方便
中洋公园首府,章江新区兴国路绵江路20号,3室2厅1卫,79㎡,南北,高层(共32层),2018年建造,14684元/㎡,116万,中央公园旁全新精装小三房 万象城商圈 视野开阔
丽水华庭(章贡),章江新区章江南大道章江南大道16号,4室2厅2卫,200㎡,南,低层(共7层),2008年建造,9250元/㎡,185万,丽水华庭带花园四房豪装 户型一绝 小区改造中
恒大御府,章江新区章江路梅江路8号,4室2厅2卫,140㎡,南北,高层(共24层),2018年建造,15643元/㎡,219万,新区中心地段，  就在家门口，恒大精装修四房，视野开阔
温馨家园(赞贤路),章江新区赞贤路赞贤路,2室2厅1卫,69.31㎡,南,低层(共25层),2012年建造,8773元/㎡,60.8万,急售房源 带家具一并出售
海亮天城,章江新区红都大道东江源大道66号,3室2厅2卫,98.62㎡,南,中层(共33层),2017年建造,13689元/㎡,135万,笋盘来袭  海亮天城捡漏房源
海亮天城,章江新区红都大道东江源大道66号,3室2厅2卫,112㎡,南北,高层(共33层),2016年建造,14554元/㎡,163万,新区低总价南北通透户型 万象商圈周边菜场  一应俱全
乾盛T1公馆,章江新区登峰大道登峰大道,5室2厅2卫,136㎡,南北,低层(共27层),2018年建造,14559元/㎡,198万,乾盛T1公馆 户型方正136平毛坯5房只卖198万
保利联发康桥,章江新区新赣州大道兴国路,3室2厅1卫,92㎡,南,中层(共33层),2019年建造,15109元/㎡,139万,滨江公园 牡丹亭旁 保利康桥中间楼层 视野好 看江景
中航云府(二期),章江新区赞贤路水南路3号,5室2厅2卫,117㎡,南,低层(共32层),2019年建造,16240元/㎡,190万,云府二期毛坯大复式 五房两厅两卫   性价比
中航云府(二期),章江新区赞贤路水南路3号,5室2厅2卫,135㎡,南,低层(共33层),2019年建造,15408元/㎡,208万,房东置换 中航云府 134平正规5房 户型好 双阳台
联发雍榕华府,章江新区梅关大道梅关大道29号,4室2厅2卫,142㎡,南北,低层(共32层),2020年建造,15916元/㎡,226万,新上VR全景看房，雍榕华府毛坯4房，看小区园景
中海国际社区锦园,章江新区兴国路五指峰路19号,3室2厅2卫,133㎡,东,中层(共30层),2017年建造,13008元/㎡,173万,降价10万万象城 中海社区 章江路   豪装3房 中间楼层
龙湾上和城,章江新区梅关大道梅关大道10号,3室2厅2卫,128㎡,南北,中层(共26层),2015年建造,14688元/㎡,188万,一线江景  圆弧阳台！早上晒到天黑两个卧室看江
云星中央星城,章江新区瑞金路赣江源大道8号,2室2厅1卫,88㎡,南,高层(共29层),2015年建造,13069元/㎡,115万,红旗二小精装两房电梯高层全天日照，家具家电齐全价格可谈
起点壹中心,章江新区章江路登峰大道19号,3室2厅2卫,123㎡,南北,低层(共25层),2018年建造,14228元/㎡,175万,捡漏了万象城旁亏本急售 南北通透 毛坯三房 7米大阳台
海亮天城,章江新区红都大道东江源大道66号,3室2厅1卫,89㎡,南北,低层(共33层),2009年建造,14383元/㎡,128万,捡漏了 海亮天城 南北通透户型 精装三房
中海派,章江新区赞贤路赞贤路,3室2厅1卫,89㎡,南,高层(共33层),2017年建造,13484元/㎡,120万,捡漏 中海派精装三房 仅售120万
丽江豪庭,章江新区梅关大道梅关大道6号,3室2厅2卫,143㎡,南北,中层(共28层),2015年建造,14056元/㎡,201万,全线江景豪装大三房，满五  税费少，业主诚意出售，    有
融耀江滨御景,章江新区五指峰路五指峰路,4室2厅2卫,142㎡,南北,低层(共31层),2016年建造,16902元/㎡,240万,章江新区品质小区，精装修四房南北通透，拎包入住，  在家门口
嘉君上品府,章江新区长征大道长征大道,4室2厅2卫,150㎡,南北,高层(共18层),2021年建造,14934元/㎡,224万,长征大道旁电梯毛胚四房两厅两卫150平方224万
云星中央星城,章江新区瑞金路赣江源大道8号,4室2厅2卫,117㎡,南,高层(共32层),2015年建造,13334元/㎡,156万,云星中央星城 低于市场价 顶楼精装四房156万 随时看房
文明大道112-116号小区,章江新区长征大道文明大道112-116号,3室2厅1卫,95㎡,南,高层(共7层),2000年建造,5664元/㎡,53.8万,房东急售！飞龙岛附近改造小区！正规三房！南北通透！！
世纪嘉园,章江新区梅关大道梅关大道,3室2厅1卫,98㎡,南北,低层(共31层),2016年建造,14490元/㎡,142万,居家精装修三房可拎包入住，业主诚意出售，看小区园林，生活便利
宝能世纪城(东区),章江新区红都大道赣江源大道11号,2室2厅1卫,78㎡,南北,高层(共31层),2016年建造,16411元/㎡,128万,新区宝能城，豪德  ，精装两房拎包入住！景观楼层，好房诚售
恒大帝景御景苑,章江新区登峰大道兴国路62号,4室2厅2卫,143㎡,南北,中层(共33层),2018年建造,14686元/㎡,210万,婚房未入住 万象城 牡丹亭   中高楼层 急售捡漏价
嘉福金融中心,章江新区新赣州大道橙香大道26号,4室2厅2卫,143㎡,南,高层(共45层),2018年建造,21889元/㎡,313万,豪宅 130万装修标准 一线江景房 家电家具全送 车位
中海凯旋门,章江新区兴国路五指峰路22号,4室2厅2卫,136.65㎡,南,高层(共18层),2018年建造,18149元/㎡,248万,全景VR看房 章江新区凯旋门一梯一户大四房南北阳台视野开阔
心愿花园,章江新区于都路于都路9号,4室2厅2卫,135㎡,南,低层(共11层),2013年建造,13186元/㎡,178万,捡漏文清路   带露台的房子 精装4房业主急售 价格可议
联发雍榕华府,章江新区梅关大道梅关大道29号,4室2厅2卫,142㎡,南北,低层(共18层),2020年建造,15353元/㎡,218万,联发雍榕华府142平小高层洋房 房东急售只要218万
宝能世纪城(西区),章江新区瑞金路安远路8号,3室2厅1卫,89㎡,南,中层(共32层),2018年建造,18315元/㎡,163万,文清豪德！宝能城通透精装三房！电梯中层 朝南户型
丽景江山,章江新区赞贤路赞贤路88号,4室2厅2卫,105㎡,南,低层(共33层),2016年建造,12381元/㎡,130万,丽景江山 精装四房 家电齐全 中间楼层 急售！性价比高
盛合公园壹号,章江新区新赣州大道登峰大道,4室2厅2卫,123㎡,南,高层(共28层),2015年建造,16017元/㎡,197万,万象城旁 精装四房二卫 南北通透 中上楼层
云星公园大观,章江新区章江路章江路18号,4室2厅3卫,245.81㎡,南,低层(共41层),2015年建造,21155元/㎡,520万,万象城商圈 生态公园旁湖景 品质高端大平层 诚意出售
世纪嘉园,章江新区梅关大道梅关大道,3室2厅1卫,99㎡,南,中层(共32层),2015年建造,14142元/㎡,140万,捡漏啦！真实在售，装修卖毛坯价，世纪嘉园江景三房，中间楼层
雍晟状元府邸,章江新区红都大道红都大道16号,4室2厅2卫,142㎡,南北,低层(共18层),2015年建造,15493元/㎡,220万,品质好房献给重视教育的人 门口双校 南北通透大四房 诚售
盛世江南,章江新区兴国路兴国路13号,3室2厅2卫,115㎡,南,高层(共16层),2015年建造,15479元/㎡,178万,盛世江南性价比好房出售  中间楼层 户型方正    方便
江山里榕府,章江新区梅关大道梅关大道,4室2厅3卫,196㎡,南,低层(共32层),2019年建造,16072元/㎡,315万,江山里 豪宅大平层 南北通透双阳台双主卧 难得一套 急售
宝能世纪城(东区),章江新区红都大道赣江源大道11号,2室2厅1卫,79㎡,南,高层(共31层),2017年建造,16203元/㎡,128万,年轻人置业   品质好房 豪华装修 业主置换诚意出售
中洋公园首府,章江新区兴国路绵江路20号,3室2厅2卫,89㎡,南北,中层(共32层),2018年建造,15169元/㎡,135万,万象城旁低总价舒适三房两卫 全明户型   一套错过既无
云星公园大观,章江新区章江路章江路18号,4室2厅3卫,245.81㎡,南,低层(共41层),2015年建造,21155元/㎡,520万,万象城商圈 生态公园旁湖景 品质高端大平层 诚意出售
世纪嘉园,章江新区梅关大道梅关大道,3室2厅1卫,99㎡,南,中层(共32层),2015年建造,14142元/㎡,140万,捡漏啦！真实在售，装修卖毛坯价，世纪嘉园江景三房，中间楼层
恒大帝景御景苑,章江新区登峰大道兴国路62号,4室2厅2卫,143㎡,南北,中层(共33层),2018年建造,14686元/㎡,210万,婚房未入住 万象城 牡丹亭   中高楼层 急售捡漏价
心愿花园,章江新区于都路于都路9号,4室2厅2卫,135㎡,南,低层(共11层),2013年建造,13186元/㎡,178万,捡漏文清路   带露台的房子 精装4房业主急售 价格可议
文明大道60号小区,章江新区长征大道文明大道60号,4室2厅3卫,130㎡,南北,中层(共7层),1998年建造,6000元/㎡,78万,单价6000南门口步步高旁，全新装修，南北通透
银庭花园,章江新区章江南大道章江南大道20号,3室2厅2卫,94㎡,南,中层(共7层),2007年建造,13618元/㎡,128万,九方旁，电梯小洋房，三面露台好晒太阳
云星中央星城,章江新区瑞金路赣江源大道8号,2室2厅1卫,89㎡,南北,高层(共32层),2015年建造,14270元/㎡,127万,章江新区 核心小区 中高楼层 全明采光无遮挡 超值精装电梯房
中海凯旋门,章江新区兴国路五指峰路22号,4室2厅2卫,136.65㎡,南,高层(共18层),2018年建造,18149元/㎡,248万,全景VR看房 章江新区凯旋门一梯一户大四房南北阳台视野开阔
联发雍榕华府,章江新区梅关大道梅关大道29号,4室2厅2卫,142㎡,南北,低层(共18层),2020年建造,15353元/㎡,218万,联发雍榕华府142平小高层洋房 房东急售只要218万
宝能世纪城(西区),章江新区瑞金路安远路8号,3室2厅1卫,89㎡,南,中层(共32层),2018年建造,18315元/㎡,163万,文清豪德！宝能城通透精装三房！电梯中层 朝南户型
呈祥中央首府,章江新区兴国路瑞金路10号,3室2厅1卫,89.47㎡,南北,低层(共26层),2019年建造,12854元/㎡,115万,笋盘捡漏了 文清豪德 毛坯小三房 性价比高   配套成熟
海亮天城,章江新区红都大道东江源大道66号,3室2厅1卫,99.32㎡,南北,高层(共32层),2012年建造,14298元/㎡,142万,近万象城 章贡中学旁 海亮天城 高楼层 精装三房 拎包入住
江南明珠,章江新区兴国路兴国路17号,4室2厅2卫,143㎡,南,低层(共10层),2009年建造,11539元/㎡,165万,市政府旁电梯小洋房 南北通透正规4房2厅2未 全新装修未入住
金鹏雅典园,章江新区长征大道长征大道6号,4室2厅2卫,118㎡,南北,高层(共13层),2012年建造,11356元/㎡,134万,金鹏雅典园（业主包税诚售）全新装修未入住 高层视线好 随时看
中航公元一期,章江新区登峰大道登峰大道36号,5室2厅2卫,129㎡,南,低层(共31层),2015年建造,16280元/㎡,210万,大赠送可做五房！中央公园旁保利中航公元不临高架
云星中央星城,章江新区瑞金路赣江源大道8号,4室2厅2卫,116㎡,南,高层(共32层),2018年建造,13535元/㎡,157万,万象城附近 高楼层 可看江 出行方便 随时看房
文明大道54-56号住宅小区,章江新区长征大道文明大道54-56号,5室2厅2卫,138㎡,南北,中层(共7层),1998年建造,6232元/㎡,86万,步步高商圈附近 超值精装大五房 中层景观 无遮挡 全明采光
金鹏怡和园,章江新区长征大道长征大道12号,3室2厅1卫,100㎡,南北,中层(共26层),2010年建造,11500元/㎡,115万,市政府旁金鹏怡和园 豪华装修三房 拎包入住 采光好 配套成熟
乾盛T1公馆,章江新区登峰大道登峰大道,5室2厅2卫,143㎡,南北,低层(共30层),2017年建造,15245元/㎡,218万,满五  ，T1公馆大五房，零公摊送入户房间，另有车位
恒大翡翠华庭二期,章江新区新赣州大道沙洲坝路8号,3室2厅1卫,105㎡,南,中层(共21层),2021年建造,14191元/㎡,149万,急售！赣州中学旁 房东置换大房子 精装3房带家具家电
丽景江山,章江新区赞贤路赞贤路88号,3室2厅1卫,82㎡,南,中层(共32层),2016年建造,12805元/㎡,105万,房东诚意出售精装三房两厅
铂金时代,章江新区长征大道长征大道16号,3室2厅1卫,88㎡,南北,高层(共22层),2008年建造,10455元/㎡,92万,章江路  ！凤凰楼层  铂金时代 三房两厅一卫 精装拎包入住
融耀江滨御景,章江新区五指峰路五指峰路,3室2厅2卫,122.4㎡,南,低层(共31层),2021年建造,14951元/㎡,183万,诚意出售江边花园小区三房两厅
中航城,章江新区翠微路翠微路1号,4室2厅2卫,136㎡,南,低层(共26层),2012年建造,13603元/㎡,185万,新区九方旁边中航城 精装南北通透四房两厅两卫 185万
中航云府(一期),章江新区赞贤路水南路1号,4室2厅2卫,128㎡,南,低层(共33层),2017年建造,14688元/㎡,188万,章江新区经开区 中航云府 周边 中海 嘉福 万象城 中央公园
云星中央星城,章江新区瑞金路赣江源大道8号,3室2厅2卫,143㎡,南,低层(共32层),2018年建造,12938元/㎡,185万,捡漏！章江新区云星中央星城 南北通透三房两厅 185万
文明大道54-56号住宅小区,章江新区长征大道文明大道54-56号,5室2厅2卫,135㎡,南,中层(共7层),1996年建造,6519元/㎡,88万,文明大道 全新精装 5室2厅 南北通透 采光好 户型方正
中祥玖珑湾一期,章江新区梅关大道梅关大道,4室2厅2卫,139㎡,南,低层(共30层),2014年建造,13454元/㎡,187万,玖珑湾 精装四房 户型方正 南北通透 小区中心 园林景观楼层
江山里澜湾,章江新区梅关大道梅关大道30号,3室2厅2卫,112㎡,南,中层(共33层),2019年建造,15625元/㎡,175万,万象城附近 江景房 可看江 高楼层 南北通透 随时看房
华润幸福里二期,章江新区登峰大道琴江路5号,4室2厅2卫,140㎡,东西,中层(共34层),2015年建造,16415元/㎡,229.8万,华润物业精装修四房，可拎包入住，生活购物方便，随时看房！
华润幸福里一期,章江新区登峰大道琴江路,4室2厅2卫,141㎡,南北,中层(共30层),2017年建造,15958元/㎡,225万,全线湖景房无遮挡，带子母车位四房两厅两卫南北通透
乾盛T1公馆,章江新区登峰大道登峰大道,5室2厅2卫,140㎡,南北,中层(共30层),2015年建造,17000元/㎡,238万,T1公馆五房，带中央空调，公摊小，业主急售
保利联发康桥,章江新区新赣州大道兴国路,3室2厅1卫,92㎡,南北,中层(共32层),2020年建造,15109元/㎡,139万,新上VR看房，牡丹亭旁，一线江景社区，中间楼层看园景
联发雍榕华府,章江新区梅关大道梅关大道29号,3室2厅2卫,104㎡,南北,低层(共33层),2020年建造,16154元/㎡,168万,可谈 联发雍榕华府 大三房 精装拎包入住 随时看房
金域蓝湾(A区),章江新区章江南大道章江南大道,3室2厅2卫,151㎡,南,中层(共18层),2010年建造,8742元/㎡,132万,章江新区全线江景  毛坯三房两厅两卫 单价八千多  前后无遮
恒大翡翠华庭二期,章江新区新赣州大道沙洲坝路8号,3室2厅2卫,127㎡,南,中层(共26层),2021年建造,14095元/㎡,179万,赣州中學旁 恒大翡翠华庭 南北通透精装大三房 全新未入住
中航公元二期,章江新区登峰大道登峰大道36号,4室2厅2卫,114㎡,南,低层(共24层),2018年建造,17106元/㎡,195万,章江新区万象城附近 全新精装四房 现代轻奢风格 拎包入住
黄金时代(B区),章江新区兴国路赞贤路,2室2厅1卫,101㎡,南,中层(共7层),2010年建造,9406元/㎡,95万,九方天虹旁 市保 章江路小學近在咫尺 南北通透双阳台正规2房
乾盛T1公馆,章江新区登峰大道登峰大道,4室2厅2卫,107㎡,南,中层(共27层),2019年建造,16636元/㎡,178万,复式四房大赠送！装修好楼层佳 1公馆大刀砍
华润幸福里二期,章江新区登峰大道琴江路5号,3室2厅1卫,89㎡,南,高层(共30层),2017年建造,14832元/㎡,132万,楼层幸福里精装小三房  业主急售132万
呈祥中央首府,章江新区兴国路瑞金路10号,3室2厅1卫,89.47㎡,南,低层(共33层),2015年建造,13189元/㎡,118万,捡漏咯，通透大三房 业主外地置换 急售115 万
世纪嘉园,章江新区梅关大道梅关大道,3室2厅1卫,99㎡,南北,低层(共32层),2019年建造,14344元/㎡,142万,刚需拎包即住，世纪嘉园精装3房，看小区园景，宜住家
安居小区(一期),章江新区章江南大道客家大道20号,3室2厅1卫,82㎡,南,高层(共7层),1998年建造,7074元/㎡,58万,安居小区精装修三房小区改造好停车地段好
海亮天城,章江新区红都大道东江源大道66号,3室2厅2卫,99㎡,南北,中层(共33层),2016年建造,14041元/㎡,139万,二小！ 赣中！ 海亮天城精装三房两卫 南北通透 拎包入住
云星中央星城,章江新区瑞金路赣江源大道8号,4室2厅2卫,117㎡,南北,高层(共32层),2013年建造,13077元/㎡,153万,章江新区 核心小区 高层无遮挡 全明采光 超值精装电梯四房
中海国际社区东郡A区,章江新区五指峰路五指峰路20号,3室2厅2卫,118㎡,南北,低层(共26层),2015年建造,12034元/㎡,142万,捡漏了 中海国际社区 南北通透户型 精装大三房低于市场价
中海凯旋门,章江新区兴国路五指峰路22号,3室2厅2卫,109㎡,南,低层(共33层),2017年建造,15413元/㎡,168万,捡漏超低价房东急售中海凯旋门三房南北通透保养很新仅售168万
三和悦城,章江新区红都大道赣江源大道23号,2室2厅1卫,86.11㎡,南,高层(共18层),2013年建造,12194元/㎡,105万,章江新区文清路  叶坪学三悦城宽松二房二厅86平仅售105万
华润幸福里三期,章江新区登峰大道琴江路,4室2厅2卫,136㎡,南,高层(共42层),2019年建造,15368元/㎡,209万,捡漏！华润幸福里 南北通透四房两厅两卫 豪华装修 209万
三和悦城,章江新区红都大道赣江源大道23号,2室2厅1卫,89㎡,南北,高层(共18层),2016年建造,12135元/㎡,108万,捡漏文清叶坪 三和悦城精装二房 采光视野好 拎包入住
外滩一号公馆,章江新区章江南大道于都路,1室2厅1卫,49.7㎡,南,低层(共26层),2015年建造,7405元/㎡,36.8万,章江新区江边带大露台精装电梯公寓采光好种菜养花养狗养猫
富地中心,章江新区兴国路梅州路6号,3室2厅1卫,96.5㎡,南,高层(共28层),2006年建造,12197元/㎡,117.7万,捡漏了 章江新区 经典3房，章江路   小， 学，交通方便
江山里熙岸,章江新区梅关大道梅关大道36号,3室2厅2卫,117.1㎡,南,中层(共22层),2015年建造,15970元/㎡,187万,新出好房！江景豪装大三房！
云星中央星城,章江新区瑞金路赣江源大道8号,4室2厅2卫,118㎡,南北,高层(共32层),2016年建造,13306元/㎡,157万,惊爆价 云星中央星城 精装四房 南北通透 一线江景 位置安静
金龙花园,章江新区翠微路东阳山路45号,5室3厅2卫,228㎡,南,高层(共7层),2006年建造,6492元/㎡,148万,全线江景精装复式5房双阳台，好停车拎包居住，南北通透采光好
恒大翡翠华庭,章江新区新赣州大道文武坝路36号,3室2厅1卫,107㎡,南,中层(共33层),2020年建造,13832元/㎡,148万,新上刚需3房，中高层视野好，大阳台日照足，新装修未入住
营角上路16号小区,章江新区长征大道营角上路16号,3室2厅2卫,132.09㎡,南,高层(共7层),2000年建造,5981元/㎡,79万,已加装电梯，有院子好停车，超大南向阳台
中海国际社区东郡A区,章江新区五指峰路五指峰路20号,4室2厅2卫,118㎡,南,中层(共32层),2015年建造,14323元/㎡,169万,捡漏 新区中海国际 精装四房二卫 中楼层
中航公元一期,章江新区登峰大道登峰大道36号,3室2厅2卫,110㎡,南,低层(共32层),2016年建造,15637元/㎡,172万,万象城旁，不临高架，看小区中心园林景观
盛合公园壹号,章江新区新赣州大道登峰大道,4室2厅2卫,123㎡,南,高层(共28层),2015年建造,16017元/㎡,197万,万象城旁 精装四房二卫 南北通透 中上楼层
