小区,地址,房型,面积,朝向,层高,建造年份,单位面积价格,总价格,备注
观澜云府,信丰信安路滨江路,4室2厅2卫,141.75㎡,南北,低层(共32层),2020年建造,6914元/㎡,98万,观澜云府大四房，通透户型，实用面积170平
桃江龙城,信丰站前大道信安路,4室2厅2卫,149.8㎡,南北,中层(共32层),2017年建造,5995元/㎡,89.8万,桃江龙城江景大四房，中高层，89.8万
南山花园一期,信丰一清路城南大道,4室2厅2卫,125㎡,南北,低层(共18层),2022年建造,8144元/㎡,101.8万,南山花园全新精装四房，未入住过，101.8万
山水中央公园,信丰陈毅广场都司前街13号,3室2厅2卫,104㎡,南北,高层(共6层),2019年建造,5654元/㎡,58.8万,中央公园南北通透大三房，58.8万
桃江御景,信丰胜利路胜利路,3室2厅2卫,127.1㎡,南北,中层(共19层),2013年建造,5964元/㎡,75.8万,桃江御景精装修大三房，拎包入住，75.8万！
盛汇花园湾3区,信丰一清路滨江大道,5室2厅3卫,135㎡,南北,低层(共32层),2020年建造,8000元/㎡,108万,盛汇花园湾一期复式，使用面积200，契税满二，103万
观澜云府,信丰信安路滨江路,4室2厅2卫,140㎡,南北,高层(共30层),2020年建造,6286元/㎡,88万,云府全线江景房空气清新4房2厅2卫南北通透户型报价88万
盛汇花园湾3区,信丰一清路滨江大道,4室2厅2卫,140㎡,南北,低层(共30层),2019年建造,8572元/㎡,120万,盛汇花园高档小区4房2厅2卫南北通透户型报价120万
桃江御景,信丰胜利路胜利路,3室2厅2卫,120㎡,南北,中层(共28层),2016年建造,7234元/㎡,86.8万,桃江御景大3房2厅2卫精装修拎包入住。
招华学府,信丰站前大道中侨路,2室2厅1卫,93.63㎡,南,高层(共27层),2020年建造,7883元/㎡,73.8万,招华学府2室2厅1卫73.8万93.6平方米
碧水蓝天D区,信丰一清路一清路,4室2厅2卫,130㎡,南北,高层(共25层),2018年建造,6616元/㎡,86万,碧水蓝天电梯四房，南北通透，85.8万！
和谐楼信安小区,信丰信安路信安路,4室2厅2卫,135㎡,南北,高层(共6层),2006年建造,5038元/㎡,68万,水东橙香苑，大四房带装修68万
碧桂园悦江府,信丰花园路滨江大道,5室2厅3卫,202㎡,南北,低层(共30层),2019年建造,9159元/㎡,185万,碧桂园悦江府大平层，江边  套，五房三卫
观澜云府,信丰信安路滨江路,5室2厅2卫,180㎡,南北,高层(共30层),2021年建造,6389元/㎡,115万,全线江景房空气清新大平台5房2厅2卫南北通透带车位115万
沁园春,信丰陈毅广场迎宾大道135号,4室2厅2卫,146.59㎡,南北,低层(共7层),2008年建造,4285元/㎡,62.8万,桥北县政府旁大四房精装修仅售62.8万
城南花园(信丰),信丰一清路中学路,4室2厅2卫,129㎡,南北,中层(共26层),2020年建造,8683元/㎡,112万,城南花园新装4房，没有入住过，电梯中高层，生活便利
碧桂园悦江府,信丰花园路滨江大道,5室2厅2卫,202.88㎡,南北,中层(共30层),2018年建造,9316元/㎡,189万,碧桂园豪宅带车位精装拎包入住
爱地新城市花园,信丰阳明北路诚信大道,5室2厅2卫,140㎡,南北,中层(共26层),2020年建造,5786元/㎡,81万,新城市花园电梯房5房2厅2卫南北通透户型报价81万
城南花园(信丰),信丰一清路中学路,3室2厅1卫,105㎡,南北,高层(共31层),2020年建造,6381元/㎡,67万,城南花园，电梯三房，可以按揭，随时看房
谷山新城,信丰信丰迎宾大道迎宾大道290号,3室2厅1卫,80.3㎡,南北,中层(共6层),2016年建造,6103元/㎡,49万,谷山新城城市中心小区绿化环境优美3房2厅南北通透报49万
盛汇花园湾1区,信丰一清路滨江大道,5室2厅2卫,180㎡,南北,中层(共30层),2022年建造,8056元/㎡,145万,盛汇花园湾大平台5房2厅2卫南北通透户型精装修报价145万
龙城江山,信丰陈毅广场桃江东路,4室2厅2卫,136㎡,南北,中层(共31层),2018年建造,8236元/㎡,112万,龙城江山江景房中间楼层，前后阳台
清华誉府,信丰站前大道站前大道,4室2厅2卫,140㎡,南北,低层(共9层),2019年建造,5429元/㎡,76万,益府电梯小洋房4房2厅2卫南北通透户型报价76万可谈
桃江龙城,信丰站前大道信安路,3室2厅1卫,103㎡,南北,高层(共26层),2020年建造,5806元/㎡,59.8万,桃江龙城毛坯三房，59.8万，中间楼层
爱地新城市花园,信丰阳明北路诚信大道,3室2厅1卫,90㎡,南北,低层(共7层),2015年建造,5423元/㎡,48.8万,新城市花园  几步路3房2厅精装修未入住过报价48.8万
碧桂园悦江府,信丰花园路滨江大道,4室2厅2卫,142㎡,南北,低层(共18层),2019年建造,8874元/㎡,126万,碧桂园二期精装修四房，没怎么住过，126万
书香苑(信丰),信丰阳明北路信安路,2室2厅1卫,90㎡,南北,高层(共11层),2016年建造,5534元/㎡,49.8万,七小旁边  几步路电梯房2房2厅南北通透户型报价49.8万
碧水蓝天D区,信丰一清路一清路,3室2厅1卫,100㎡,南北,高层(共11层),2019年建造,7080元/㎡,70.8万,碧水蓝天D区，江景三房，大阳台，视野好
碧水蓝天C区,信丰一清路一清路,5室2厅2卫,144㎡,南北,中层(共30层),2019年建造,9931元/㎡,143万,碧水蓝天全线江景房空气清新5房2厅2卫南北通透一口价143万
桃江御景,信丰胜利路胜利路,3室2厅2卫,120㎡,南北,高层(共30层),2013年建造,5917元/㎡,71万,城市中心一小  几步路3房2厅2卫南北通透户型报价71万
碧水蓝天D区,信丰一清路一清路,3室2厅2卫,110㎡,南北,高层(共11层),2019年建造,6455元/㎡,71万,碧水蓝天前后无遮挡3房2厅2卫南北通透户型报价71万
爱地金色家园,信丰信丰迎宾大道建设路,5室2厅2卫,144㎡,南北,高层(共11层),2010年建造,5959元/㎡,85.8万,金色家园电梯房  楼层五房85.8万
香格里拉,全南宏昌广场南海大道,4室2厅2卫,158㎡,南,低层(共30层),2016年建造,11836元/㎡,187万,全线江景 香格里拉 全新精装未入住 复式四房 中间楼层 急售
香格里拉,全南宏昌广场南海大道,3室2厅2卫,125㎡,南,中层(共7层),,4800元/㎡,60万,香格里拉3室2厅2卫好楼层价格可谈高性价比诚心出售
广宸珑悦居,全南宏昌广场车站西路96号,3室2厅2卫,128.19㎡,南,中层(共8层),,4759元/㎡,61万,广宸珑悦居3室2厅2卫
嘉福未来城(兴国县),兴国太平洋广场文明大道,3室2厅2卫,116㎡,南,低层(共33层),2020年建造,6897元/㎡,80万,捡漏！嘉福未来城，毛坯三房，中间楼层广告
云顶公馆,兴国太平洋广场和睦大道,4室2厅2卫,120㎡,南,高层(共32层),2017年建造,10000元/㎡,120万,云顶公馆精装修大四房
金福花园(三四期),兴国太平洋广场将军大道193号,4室2厅2卫,110㎡,南,中层(共17层),2008年建造,8182元/㎡,90万,金福花园好楼层四室两厅两卫仅售90万
